Postal,Name,medIncome
IN,Boone County,66023
IN,Brown County,46770
IN,Carroll County,49966
IN,Cass County,38859
IN,Clark County,44775
IN,Clay County,42233
IN,Clinton County,47229
IN,Crawford County,39358
IN,Daviess County,42318
IN,Dearborn County,55817
IN,Decatur County,49551
IN,De Kalb County,46781
IN,Delaware County,36362
IN,Dubois County,51885
IN,Elkhart County,42168
IN,Fayette County,36734
IN,Floyd County,49117
IN,Fountain County,43947
IN,Franklin County,48938
IN,Fulton County,40856
IN,Gibson County,45383
IN,Grant County,35976
IN,Greene County,41504
IN,Hamilton County,82054
IN,Hancock County,62195
IN,Harrison County,48775
IN,Hendricks County,66080
IN,Henry County,40732
IN,Howard County,41786
IN,Huntington County,46530
IN,Jackson County,46562
IN,Jasper County,55267
IN,Jay County,38117
IN,Jefferson County,41654
IN,Jennings County,41869
IN,Johnson County,58695
IN,Knox County,39123
IN,Kosciusko County,47811
IN,Lagrange County,44151
IN,Lake County,45252
IN,La Porte County,44039
IN,Lawrence County,41305
IN,Madison County,39449
IN,Marion County,39393
IN,Marshall County,43283
IN,Martin County,43854
IN,Miami County,40466
IN,Monroe County,38348
IN,Montgomery County,41853
IN,Morgan County,53738
IN,Newton County,48043
IN,Noble County,45269
IN,Ohio County,47937
IN,Orange County,35999
IN,Owen County,42658
IN,Parke County,42749
IN,Perry County,41446
IN,Pike County,39684
IN,Porter County,56648
IN,Posey County,56159
IN,Pulaski County,41794
IN,Putnam County,44437
IN,Randolph County,40806
IN,Ripley County,45951
IN,Rush County,45464
IN,St. Joseph County,42316
IN,Scott County,39134
IN,Shelby County,46619
IN,Spencer County,47726
IN,Starke County,38317
IN,Steuben County,45431
IN,Sullivan County,42481
IN,Switzerland County,42268
IN,Tippecanoe County,41722
IN,Tipton County,54171
IN,Union County,44337
IN,Vanderburgh County,41024
IN,Vermillion County,42613
IN,Vigo County,39089
IN,Wabash County,42990
IN,Warren County,50349
IN,Warrick County,59195
IN,Washington County,39945
IN,Wayne County,36424
IN,Wells County,45492
IN,White County,43487
IN,Whitley County,49989
IA,Iowa,48031
IA,Adair County,45540
IA,Adams County,39781
IA,Allamakee County,45881
IA,Appanoose County,35352
IA,Audubon County,45563
IA,Benton County,54283
IA,Black Hawk County,44046
IA,Boone County,51723
IA,Bremer County,55606
IA,Buchanan County,50026
IA,Buena Vista County,44795
IA,Butler County,49703
IA,Calhoun County,44859
IA,Carroll County,49536
IA,Cass County,40867
IA,Cedar County,55413
IA,Cerro Gordo County,43982
IA,Cherokee County,46305
IA,Chickasaw County,45083
IA,Clarke County,43016
IA,Clay County,44395
IA,Clayton County,41940
IA,Clinton County,46577
IA,Crawford County,45637
IA,Dallas County,68568
IA,Davis County,40145
IA,Decatur County,34250
IA,Delaware County,45910
IA,Des Moines County,42191
IA,Dickinson County,49295
IA,Dubuque County,49493
IA,Emmet County,41519
IA,Fayette County,41163
IA,Floyd County,42233
IA,Franklin County,45383
IA,Fremont County,47513
IA,Greene County,46947
IA,Grundy County,55302
IA,Guthrie County,48064
IA,Hamilton County,46574
IA,Hancock County,48195
IA,Hardin County,46411
IA,Harrison County,50845
IA,Henry County,43228
IA,Howard County,40919
IA,Humboldt County,46300
IA,Ida County,47035
IA,Iowa County,52592
IA,Jackson County,42274
IA,Jasper County,46565
IA,Jefferson County,40158
IA,Johnson County,51014
IA,Jones County,46600
IA,Keokuk County,42999
IA,Kossuth County,47930
IA,Lee County,40363
IA,Linn County,54806
IA,Louisa County,50301
IA,Lucas County,39207
IA,Lyon County,51491
IA,Madison County,52351
IA,Mahaska County,45211
IA,Marion County,52845
IA,Marshall County,45911
IA,Mills County,57359
IA,Mitchell County,47406
IA,Monona County,43052
IA,Monroe County,42631
IA,Montgomery County,41068
IA,Muscatine County,47583
IA,O'Brien County,44209
IA,Osceola County,51042
IA,Page County,40960
IA,Palo Alto County,43360
IA,Plymouth County,61292
IA,Pocahontas County,44225
IA,Polk County,54328
IA,Pottawattamie County,47870
IA,Poweshiek County,48929
IA,Ringgold County,36810
IA,Sac County,42888
IA,Scott County,47800
IA,Shelby County,49056
IA,Sioux County,53705
IA,Story County,49192
IA,Tama County,48833
IA,Taylor County,42768
IA,Union County,39977
IA,Van Buren County,37833
IA,Wapello County,38569
IA,Warren County,62036
IA,Washington County,47118
IA,Wayne County,35867
IA,Webster County,39565
IA,Winnebago County,48933
IA,Winneshiek County,51248
IA,Woodbury County,42672
IA,Worth County,46384
IA,Wright County,44456
KS,Kansas,47888
KS,Allen County,39662
KS,Anderson County,41054
KS,Atchison County,41659
KS,Barber County,42565
KS,Barton County,43675
KS,Bourbon County,37192
KS,Brown County,40464
KS,Butler County,55182
KS,Chase County,39683
KS,Chautauqua County,34772
