"lon"	"lat"	"depth"	"mag"	"ids"
"225"	-116.557	33.4757	9.33	0.86	"ci37358952"
"226"	-120.025	39.3627	2.7232	1.26	"nn00489643"
"227"	-149.459	63.1897	19.1	0.8	"ak11548932"
"228"	-116.575	33.4695	8.74	0.54	"ci37358944"
"229"	-116.599	33.1537	17.94	1.09	"ci37358936"
"230"	-121.039	36.4627	5.96	1.69	"nc72428251"
"231"	-123.28	38.6827	0.42	1.8	"nc72428241"
"232"	-150.109	61.7047	44.5	1.3	"ak11548931"
"233"	-120.025	39.3606	2.2038	0.06	"nn00489721"
"234"	-120.022	39.3637	2.12	2.13	"nc72428236"
"235"	-122.812	38.8338	2.66	1.27	"nc72428226"
"236"	-120.024	39.3672	0.79	1.13	"nn00489639"
"237"	-122.767	38.8218	3.01	0.44	"nc72428221"
"238"	-122.809	38.7978	3.8	0.55	"nc72428216"
"239"	-116.563	33.475	8.77	0.96	"ci37358920"
"240"	-116.566	33.4727	8.52	1.15	"ci37358912"
"241"	-121.775	37.8263	17.09	2.56	"nc72428201"
"242"	-118.63	35.1908	9.15	1.42	"ci37358928"
"243"	-151.448	63.0836	0.1	1.6	"ak11548911"
"244"	-120.025	39.3585	4.0199	0.63	"nn00489637"
"245"	-116.568	33.4733	8.59	0.1	"ci37358904"
"246"	-121.103	36.6417	8.31	1.1	"nc72428196"
"247"	-116.562	33.4735	8.55	0.59	"ci37358896"
"248"	-116.578	33.4713	8.9	0.53	"ci37358888"
"249"	-116.58	33.4702	8.61	0.54	"ci37358880"
"250"	-120.021	39.3596	1.1214	0.61	"nn00489680"
"251"	-122.838	38.8412	2.13	0.55	"nc72428186"
"252"	-146.43	61.5371	30.7	1.7	"ak11548892"
"253"	-120.025	39.355	4.0659	0.36	"nn00489632"
"254"	-116.273	32.9025	4.84	1.32	"ci37358872"
"255"	-120.019	39.3575	1.5144	0.42	"nn00489719"
"256"	-122.826	38.8117	2.42	0.68	"nc72428181"
"257"	-120.027	39.3638	0.9694	0.35	"nn00489677"
"258"	-120.02	39.3571	4.9555	0.77	"nn00489631"
"259"	-120.018	39.3582	2.0942	0.54	"nn00489630"
"260"	-120.888	35.5545	7.17	1.4	"nc72428176"
"261"	-120.021	39.3605	2.3689	0.61	"nn00489628"
"262"	-122.749	38.7958	0.09	0.28	"nc72428171"
"263"	-120.023	39.3582	4.4712	0.56	"nn00489627"
"264"	-120.022	39.3566	3.003	0	"nn00489718"
"265"	-120.025	39.3655	2.8137	1.17	"nn00489626"
"266"	-120.023	39.3653	2.9311	1.24	"nn00489625"
"267"	-120.027	39.3597	2.1765	1.57	"nn00489634"
"268"	-120.021	39.3607	1.54	3.42	"nc72428161"
"269"	-92.6913	36.3972	0.08	2.19	"nm60006808"
"270"	-122.793	38.8055	1.11	0.52	"nc72428156"
"271"	-116.563	33.4623	9.86	0.56	"ci37358848"
"272"	-116.815	33.5962	10.34	0.24	"ci37358840"
"273"	-97.5254	36.2769	2.44	2.8	"us200024xm"
"274"	-122.83	38.844	2.49	0.43	"nc72428146"
"275"	-116.569	33.472	8.69	0.84	"ci37358816"
"276"	-97.2798	36.2683	5	3	"us200024xj"
"277"	-116.565	33.469	9.23	0.21	"ci37358792"
"278"	-149.136	62.0739	28.7	1.5	"ak11548858"
"279"	-153.534	62.2632	0.6	2.5	"ak11548854"
"280"	-122.762	38.7893	1.36	0.56	"nc72428136"
"281"	-97.6816	36.6415	6.682	2.6	"us2000254e"
"282"	-116.541	33.4903	11.5	0.83	"ci37358768"
"283"	-152.711	61.156	15.2	2.6	"ak11548847"
"284"	-120.018	39.3637	0.77	1.53	"nc72428131"
"285"	-97.0372	36.1966	5	3.1	"us200024ww"
"286"	-97.5117	36.2867	5	3	"us200024wv"
"287"	-116.57	33.4678	9.48	0.76	"ci37358744"
"288"	-97.6247	36.9443	6.882	2.6	"us20002512"
"289"	-116.576	33.4705	10.08	0.7	"ci37358736"
"290"	-120.908	47.836	5.95	1.48	"uw60995501"
"291"	-118.889	37.6385	1.65	1.43	"nc72428121"
"292"	-142.95	60.5188	5.8	1.8	"ak11549655"
"293"	-122.799	38.8253	2.21	1.31	"nc72428111"
"294"	-142.921	60.4939	11.4	1.7	"ak11548839"
"295"	-148.49	63.81	103	1.3	"ak11548838"
"296"	-122.823	38.8135	2.83	0.56	"nc72428106"
"297"	-122.806	38.7918	3.29	0.9	"nc72428101"
"298"	-123.004	48.6455	16.94	2.38	"uw60995486"
"299"	-150.456	62.7393	37.5	1.6	"ak11548829"
"300"	-116.319	34.0173	11.06	1.05	"ci37358712"
"301"	-118.601	37.4088	11.17	1.87	"nc72428086"
"302"	-116.882	34.3407	0.01	1.54	"ci37358696"
"303"	-151.061	61.518	76.4	1.9	"ak11548827"
"304"	-149.998	63.0424	1.4	1.8	"ak11548825"
"305"	-147.362	64.992	0	1.7	"ak11548823"
"306"	-122.81	38.7968	3.49	1.26	"nc72428081"
"307"	-118.383	37.0445	10.6	2.21	"nc72428076"
"308"	-122.759	38.7933	2.05	1.14	"nc72428071"
"309"	-119.628	41.8358	2.0425	1.4	"nn00489618"
"310"	-121.201	36.5967	3.41	0.66	"nc72428656"
"311"	-97.1763	36.4909	2.78	3	"us200024v1"
"312"	-149.911	65.8354	13.1	2	"ak11548787"
"313"	-116.813	33.3565	6.7	0.68	"ci37358624"
"314"	-122.821	38.8132	2.3	1.33	"nc72428046"
"315"	-149.965	62.6834	18.8	1.2	"ak11548637"
"316"	-117.219	34.012	17.12	1.09	"ci37358616"
"317"	-119.628	41.8714	8.8476	1.36	"nn00489594"
"318"	-98.1957	36.8498	5	3.2	"us200024u6"
"319"	-149.243	62.1924	39.4	1.7	"ak11548631"
"320"	-122.819	38.8115	3.1	0.9	"nc72428041"
"321"	-89.4713	36.2398	6.37	1.37	"nm60097111"
"322"	-116.564	33.4588	10.46	0.43	"ci37358600"
"323"	-122.349	46.0985	0.02	1.74	"uw60995376"
"324"	-124.3	40.6222	18.17	1.79	"nc72428036"
"325"	-149.999	64.1081	0	1.3	"ak11548626"
"326"	-142.111	60.4391	24.3	3.2	"ak11548622"
"327"	-142.535	60.6566	3.4	2.9	"ak11548617"
"328"	-155.385	19.2885	3.4	1	"hv60889371"
"329"	-116.567	33.4652	8.85	0.39	"ci37358560"
"330"	-117.682	35.9888	1.52	2.35	"ci37358552"
"331"	-119.661	41.8627	7.0712	1.03	"nn00489578"
"332"	-117.891	36.0715	3.12	0.61	"ci37358544"
"333"	-122.701	38.7478	1.88	1	"nc72428021"
"334"	-121.546	37.169	1.59	0.66	"nc72428026"
"335"	-116.53	34.6287	7.23	1.53	"ci37358512"
"336"	-120.46	35.8103	8.75	0.72	"nc72428006"
"337"	-116.807	33.5828	10.09	0.35	"ci37358496"
"338"	-122.81	38.8107	1.19	0.31	"nc72428001"
"339"	-118.375	37.0385	14	2.33	"nc72427996"
"340"	-118.368	37.039	14.95	2.34	"nc72427986"
"341"	-116.576	33.4702	8.95	0.38	"ci37358480"
"342"	-122.824	38.8428	2.29	0.43	"nc72427981"
"343"	-114.984	33.0528	0.01	1.61	"ci37358472"
"344"	-116.735	33.6913	17.67	0.62	"ci37358464"
"345"	-149.843	62.013	55.5	0.9	"ak11548106"
"346"	-110.25	44.0172	9.92	1.4	"uu60106697"
"347"	-118.856	38.0903	8.85	1.32	"nn00489569"
"348"	-123.402	44.6852	0.02	1.54	"uw60995251"
"349"	-112.585	42.029	1.37	1.23	"uu60106687"
"350"	-149.574	61.5991	35.4	1	"ak11542820"
"351"	-122.712	38.7805	3.03	0.46	"nc72427966"
"352"	-116.58	33.47	9.54	1.99	"ci37358448"
"353"	-99.0371	36.5044	7.802	2.9	"us10001vf4"
"354"	-116.571	33.4658	9.61	1.31	"ci37358432"
"355"	-122.747	38.7527	0.99	0.88	"nc72427941"
"356"	-155.386	19.294	3.9	0.9	"hv60889311"
"357"	-147.237	61.3967	24.4	2.3	"ak11548549"
"358"	-117.691	33.8383	5.56	1.12	"ci37358424"
"359"	-119.093	34.6178	7.33	2.01	"ci37358400"
"360"	-117.586	36.0385	2.56	1.08	"ci37358408"
"361"	-116.573	33.472	9.32	1.51	"ci37358384"
"362"	-117.772	36.0293	1.03	0.94	"ci37358376"
"363"	-122.792	38.8177	3.54	0.78	"nc72427926"
"364"	-116.566	33.4748	9.03	0.77	"ci37358368"
"365"	-122.8	38.8202	3.77	1.04	"nc72427921"
"366"	-111.161	39.7672	1.48	1.3	"uu60106677"
"367"	-116.671	33.3598	12.13	0.6	"ci37358344"
"368"	-116.572	33.4638	10.11	2.05	"ci37358336"
"369"	-118.573	37.4303	11.49	1.08	"nc72427911"
"370"	-118.571	37.43	11.91	1.54	"nc72427906"
"371"	-118.576	37.4318	11.06	1.31	"nc72427901"
"372"	-117.736	36.0263	1.18	0.84	"ci37358328"
"373"	-118.385	37.0392	10.96	2.57	"nc72427896"
"374"	-116.821	33.5995	10.36	0.75	"ci37358280"
"375"	-116.563	33.476	9.25	1.2	"ci37358272"
"376"	-116	33.276	3.49	1.63	"ci37358264"
"377"	-112.103	46.1875	8	1.4	"mb15974163"
"378"	-122.88	39.9387	7.63	1.64	"nc72427891"
"379"	-151.134	63.2981	14.7	1.5	"ak11543113"
"380"	-116.926	34.126	12.39	0.84	"ci37358248"
"381"	-122.829	38.843	2.53	0.51	"nc72427886"
"382"	-122.812	38.8113	3.36	1.36	"nc72427881"
"383"	-120.554	35.9902	4.86	1.64	"nc72427876"
"384"	-117.722	36.0645	0.47	1.34	"ci37358232"
"385"	-116.557	33.475	9.57	0.67	"ci37358224"
"386"	-122.82	38.8148	3.45	1.29	"nc72427861"
"387"	-117.568	36.0518	0.21	1.17	"ci37358216"
"388"	-122.79	38.8357	2.5	0.93	"nc72427856"
"389"	-116.775	33.703	16.89	0.51	"ci37358208"
"390"	-122.816	38.818	2.96	1.95	"nc72427846"
"391"	-116.57	33.4697	8.05	0.31	"ci37358200"
"392"	-149.219	64.9571	12.6	1.2	"ak11550071"
"393"	-117.845	36.1138	0.03	1.94	"ci37358192"
"394"	-122.8	38.8338	2.72	1.63	"nc72427836"
"395"	-122.801	38.8355	0.04	0.7	"nc72427831"
"396"	-155.387	19.2905	3.8	1.1	"hv60889096"
"397"	-121.976	37.7875	8.97	0.83	"nc72427826"
"398"	-116.575	33.4723	8.24	0.19	"ci37358184"
"399"	-155.385	19.289	1.3	2.4	"hv60889081"
"400"	-119.516	39.7516	9.9103	0.26	"nn00489562"
"401"	-117.848	36.1112	0.06	2.01	"ci37358176"
"402"	-116.491	36.7013	6.6032	0.29	"nn00489561"
"403"	-117	34.2732	11.18	0.8	"ci37358168"
"404"	-152.044	61.7828	103.7	2.9	"ak11548426"
"405"	-121.985	37.7972	10.16	1.36	"nc72427806"
"406"	-116.565	33.4748	10.12	0.36	"ci37358160"
"407"	-117.573	36.378	1.25	1.21	"nn00489533"
"408"	-120.474	35.9298	5.91	0.9	"nc72427801"
"409"	-115.859	32.9162	9.76	1.07	"ci37358144"
"410"	-110.99	44.7035	7.5	0.56	"uu60106667"
"411"	-118.294	38.3925	8.889	2.43	"nn00489530"
"412"	-155.244	19.3857	29.1	1.8	"hv60889061"
"413"	-117.761	34.1442	3.71	1.15	"ci37359760"
"414"	-149.894	61.6708	32.8	2	"ak11548406"
"415"	-116.561	33.4662	9.78	0.57	"ci37358136"
"416"	-122.763	38.8227	2.24	1.34	"nc72427796"
"417"	-122.894	38.789	4.39	1.02	"nc72427791"
"418"	-116.499	33.498	14.77	2.06	"ci37358112"
"419"	-116.569	33.4677	9.84	0.3	"ci37358120"
"420"	-116.564	33.467	8.54	0.49	"ci37358104"
"421"	-122.817	38.8097	2.95	1.36	"nc72427781"
"422"	-118.861	37.5008	7.35	0.96	"nc72427776"
"423"	-117.592	36.0375	3.67	0.46	"ci37358096"
"424"	-122.858	39.9402	9.38	2.23	"nc72427771"
"425"	-151.775	62.2707	66.1	1.7	"ak11548403"
"426"	-118.846	38.0835	12.8146	1.37	"nn00489525"
"427"	-116.565	33.4753	8.91	0.52	"ci37358088"
"428"	-116.864	33.9662	21.33	1.24	"ci37358080"
"429"	-119.6	41.8399	1.2184	0.91	"nn00489532"
"430"	-150.608	60.4008	35.6	1.9	"ak11548526"
"431"	-122.793	38.8222	2.52	0.53	"nc72427761"
"432"	-149.323	63.2233	104.2	1.4	"ak11548400"
"433"	-121.009	35.6963	7.03	1.08	"nc72427741"
"434"	-118.485	35.2387	7.52	1.17	"ci37358072"
"435"	-116.577	33.4712	8.96	0.19	"ci37358064"
"436"	-122.799	38.8335	2.39	0.46	"nc72427736"
"437"	-119.612	41.8635	5.7573	1.32	"nn00489531"
"438"	-121.01	35.6977	7.18	0.69	"nc72427731"
"439"	-89.3048	36.2617	4.95	1.75	"nm60096966"
"440"	-117.744	36.0173	1.1	1.81	"ci37358056"
"441"	-155.583	19.4688	0.7	1.3	"hv60888956"
